Scenario,Pair,Agent,Cumulative Reward,Holding Cost,Lost Sales (units),Ordering Quantity,Service Level (%),Avg Inventory,Total Cost
Scenario A,S002_P0008,Fixed-S Policy,-63944.51411672421,2630.6960620880127,1979.073989868164,1941.5983585912804,48.834695144261495,87.68986873626709,63944.51411672421
Scenario A,S002_P0008,Forecast Base-Stock,-52348.72616784571,3352.0364549160004,1553.7466928958893,2384.2889260530287,59.83074730020101,111.73454849720001,52348.72616784571
Scenario A,S003_P0001,RL+LSTM Agent,-57556.48383457678,5285.459808349609,1634.8693618774414,3224.9431699039233,66.65573405397765,176.18199361165364,57556.48383457678
Scenario A,S003_P0001,Standard RL Agent,-95756.81702251708,2045.3007488250732,3063.2911167144775,1812.782772257678,37.52210662965955,68.17669162750244,95756.81702251708
Scenario A,S003_P0001,Fixed-S Policy,-82031.9078935329,2689.519231915474,2577.220298707485,2025.779700392873,47.435849588065295,89.65064106384914,82031.9078935329
Scenario A,S003_P0001,Forecast Base-Stock,-75507.86769240657,3312.268366217613,2321.952684700489,2537.018785174304,52.64220515832396,110.40894554058711,75507.86769240657
Scenario B,S005_P0005,RL+LSTM Agent,-47192.50779694945,5001.864950180054,1285.2984790802002,3631.6884743633937,72.8496305568812,166.72883167266846,47192.50779694945
Scenario B,S005_P0005,Standard RL Agent,-88653.92797142909,2157.564588546753,2823.143491744995,1802.0586305324928,40.36452229627958,71.9188196182251,88653.92797142909
Scenario B,S005_P0005,Fixed-S Policy,-87901.90138286927,2711.459809064865,2771.9345940351486,2032.40375274995,41.44624806988525,90.3819936354955,87901.90138286927
Scenario B,S005_P0005,Forecast Base-Stock,-74477.52930681457,3275.920618414879,2290.7985607385635,2477.651866242786,51.6096624588506,109.19735394716263,74477.52930681457
Scenario B,S004_P0016,RL+LSTM Agent,-37120.67378076668,5854.004635334015,937.4469866752625,3143.2595451747866,76.09773106611264,195.13348784446717,37120.67378076668
Scenario B,S004_P0016,Standard RL Agent,-70898.9374677779,1991.0632772445679,2244.9386796951294,1559.7137996794352,42.76035997249748,66.36877590815226,70898.9374677779
